iter	Passed	Remaining
0	88	88522
1	89	44816
2	90	30095
3	91	22714
4	92	18323
5	92	15373
6	93	13296
7	94	11725
8	95	10500
9	96	9547
10	97	8757
11	98	8103
12	99	7539
13	99	7041
14	100	6609
15	101	6242
16	102	5909
17	102	5617
18	103	5357
19	104	5123
20	105	4912
21	106	4717
22	106	4539
23	107	4372
24	108	4218
25	108	4077
26	109	3953
27	110	3836
28	111	3728
29	112	3631
30	113	3535
31	113	3442
32	114	3355
33	115	3275
34	115	3197
35	116	3125
36	117	3055
37	118	2992
38	118	2931
39	119	2872
40	120	2818
41	121	2767
42	122	2717
43	122	2669
44	123	2626
45	124	2584
46	125	2549
47	126	2513
48	127	2474
49	128	2438
50	129	2403
51	130	2370
52	130	2336
53	131	2303
54	132	2273
55	133	2243
56	133	2212
57	134	2183
58	135	2155
59	135	2129
60	136	2104
61	137	2079
62	138	2055
63	138	2032
64	139	2010
65	140	1989
66	141	1966
67	141	1944
68	142	1922
69	143	1901
70	143	1881
71	144	1863
72	145	1845
73	146	1827
74	146	1810
75	147	1793
76	148	1777
77	149	1761
78	149	1746
79	150	1730
80	151	1715
81	151	1700
82	152	1682
83	153	1668
84	153	1655
85	154	1645
86	155	1632
87	156	1621
88	157	1609
89	157	1596
90	158	1583
91	159	1570
92	159	1558
93	160	1546
94	161	1534
95	161	1524
96	162	1513
97	163	1503
98	164	1492
99	164	1483
100	165	1474
101	166	1463
102	167	1459
103	168	1450
104	169	1442
105	170	1434
106	170	1427
107	171	1418
108	172	1410
109	173	1402
110	174	1395
111	175	1388
112	175	1380
113	176	1372
114	177	1365
115	178	1358
116	178	1349
117	179	1341
118	180	1334
119	180	1327
120	181	1321
121	182	1313
122	183	1307
123	184	1301
124	185	1296
125	186	1290
126	186	1284
127	187	1278
128	188	1271
129	189	1266
130	189	1259
131	190	1253
132	191	1247
133	192	1241
134	192	1235
135	193	1230
136	194	1224
137	195	1219
138	196	1214
139	196	1208
140	197	1202
141	197	1196
142	198	1191
143	199	1188
144	200	1184
145	201	1179
146	202	1175
147	203	1170
148	204	1166
149	204	1161
150	205	1157
151	206	1152
152	207	1148
153	208	1143
154	208	1138
155	209	1134
156	210	1129
157	211	1125
158	211	1120
159	212	1115
160	212	1109
161	213	1105
162	214	1101
163	215	1097
164	216	1094
165	217	1090
166	217	1086
167	218	1081
168	219	1077
169	219	1072
170	220	1068
171	221	1064
172	221	1060
173	222	1056
174	223	1052
175	223	1048
176	224	1044
177	225	1041
178	226	1037
179	226	1032
180	227	1029
181	228	1025
182	229	1023
183	229	1019
184	230	1016
185	231	1012
186	232	1009
187	232	1005
188	233	1001
189	234	998
190	234	994
191	235	990
192	236	987
193	236	983
194	237	979
195	237	976
196	238	972
197	239	969
198	239	965
199	240	962
200	241	959
201	241	955
202	242	952
203	243	950
204	244	947
205	245	944
206	246	942
207	246	940
208	247	937
209	248	934
210	249	931
211	249	929
212	250	926
213	251	923
214	252	920
215	252	917
216	253	914
217	254	911
218	254	908
219	255	905
220	256	902
221	256	899
222	257	897
223	258	894
224	259	892
225	259	890
226	260	887
227	261	884
228	261	881
229	262	879
230	263	876
231	264	874
232	264	871
233	265	869
234	266	867
235	267	865
236	268	862
237	268	860
238	269	857
239	270	855
240	270	852
241	271	850
242	272	847
243	272	845
244	273	843
245	274	841
246	275	839
247	276	837
248	276	834
249	277	832
250	278	830
251	278	828
252	279	825
253	280	823
254	281	821
255	281	818
256	282	816
257	283	814
258	284	812
259	284	810
260	285	808
261	286	806
262	286	804
263	287	801
264	288	799
265	289	798
266	290	796
267	290	794
268	291	792
269	292	791
270	293	789
271	294	787
272	294	785
273	295	783
274	296	781
275	296	779
276	297	777
277	298	775
278	299	773
279	300	771
280	300	769
281	301	767
282	302	765
283	302	763
284	303	761
285	304	760
286	305	758
287	306	756
288	306	755
289	307	753
290	308	751
291	309	749
292	310	748
293	310	746
294	311	744
295	312	743
296	313	741
297	314	739
298	314	737
299	315	736
300	316	734
301	316	732
302	317	730
303	318	729
304	319	727
305	320	726
306	320	724
307	321	723
308	322	721
309	323	719
310	324	717
311	324	716
312	325	714
313	326	713
314	327	711
315	327	709
316	328	707
317	329	706
318	329	704
319	330	702
320	331	701
321	332	699
322	332	697
323	333	696
324	334	694
325	335	693
326	336	691
327	336	690
328	337	688
329	338	686
330	338	684
331	339	682
332	340	681
333	340	679
334	341	677
335	341	675
336	342	674
337	343	672
338	344	670
339	344	669
340	345	667
341	346	665
342	346	664
343	347	662
344	347	660
345	348	659
346	349	658
347	350	657
348	351	655
349	352	654
350	352	652
351	353	651
352	354	649
353	355	648
354	356	646
355	356	645
356	357	644
357	358	642
358	359	641
359	359	639
360	360	638
361	361	636
362	361	635
363	362	633
364	363	632
365	364	631
366	365	630
367	366	629
368	367	627
369	367	626
370	368	624
371	369	623
372	369	621
373	370	620
374	371	619
375	372	618
376	373	616
377	373	615
378	374	614
379	375	612
380	376	611
381	377	610
382	377	608
383	378	607
384	379	606
385	380	605
386	381	603
387	382	602
388	382	601
389	383	600
390	384	598
391	385	597
392	386	596
393	386	594
394	387	593
395	387	591
396	388	590
397	389	588
398	389	587
399	390	585
400	391	584
401	392	583
402	392	582
403	393	581
404	394	580
405	395	578
406	396	577
407	396	575
408	397	574
409	398	573
410	399	572
411	399	570
412	400	569
413	401	568
414	402	566
415	402	565
416	403	564
417	404	563
418	405	561
419	405	560
420	406	558
421	406	557
422	407	556
423	408	554
424	409	553
425	410	552
426	410	551
427	411	549
428	412	548
429	412	547
430	413	546
431	414	544
432	414	543
433	415	541
434	416	540
435	416	539
436	417	538
437	418	536
438	419	535
439	419	534
440	420	532
441	420	531
442	421	530
443	422	528
444	423	527
445	423	526
446	424	525
447	425	524
448	426	523
449	427	522
450	427	520
451	428	519
452	429	518
453	429	516
454	430	515
455	430	513
456	431	512
457	432	511
458	433	510
459	433	509
460	434	507
461	435	506
462	436	505
463	436	504
464	437	503
465	438	502
466	438	500
467	439	499
468	440	498
469	441	497
470	441	496
471	442	495
472	443	494
473	444	492
474	444	491
475	445	490
476	446	489
477	447	488
478	447	486
479	448	485
480	449	484
481	449	483
482	450	482
483	451	481
484	452	480
485	452	478
486	453	477
487	454	476
488	455	475
489	456	474
490	457	473
491	457	472
492	458	471
493	459	470
494	460	469
495	461	468
496	461	467
497	462	466
498	463	465
499	463	463
500	464	462
501	465	461
502	466	460
503	466	459
504	467	458
505	468	457
506	468	455
507	469	454
508	470	454
509	471	453
510	472	452
511	473	451
512	474	450
513	474	449
514	475	447
515	476	446
516	477	445
517	477	444
518	478	443
519	479	442
520	480	441
521	480	440
522	481	438
523	481	437
524	482	436
525	483	435
526	483	434
527	484	433
528	485	432
529	486	431
530	487	430
531	488	429
532	488	428
533	489	427
534	490	426
535	490	425
536	491	423
537	492	422
538	493	421
539	493	420
540	494	419
541	495	418
542	496	417
543	496	416
544	497	415
545	498	414
546	498	413
547	499	412
548	500	411
549	501	410
550	502	409
551	503	408
552	504	407
553	504	406
554	505	405
555	506	404
556	506	403
557	507	402
558	508	401
559	509	399
560	509	398
561	510	397
562	511	396
563	512	395
564	512	394
565	513	393
566	514	392
567	515	392
568	516	391
569	517	390
570	518	389
571	518	388
572	519	387
573	520	386
574	520	385
575	521	384
576	522	382
577	523	381
578	524	381
579	524	380
580	525	379
581	526	377
582	527	376
583	527	375
584	528	374
585	529	373
586	530	372
587	530	372
588	531	371
589	532	370
590	533	369
591	534	368
592	535	367
593	535	366
594	536	365
595	537	364
596	538	363
597	538	362
598	539	361
599	540	360
600	541	359
601	542	358
602	542	357
603	543	356
604	544	355
605	545	354
606	546	353
607	547	352
608	547	351
609	548	350
610	549	349
611	549	348
612	550	347
613	551	346
614	551	345
615	552	344
616	553	343
617	554	342
618	555	341
619	555	340
620	556	339
621	557	338
622	558	337
623	558	336
624	559	335
625	560	334
626	561	334
627	562	333
628	563	332
629	563	331
630	564	330
631	565	328
632	565	328
633	566	327
634	567	325
635	567	324
636	568	323
637	569	322
638	569	321
639	570	320
640	571	319
641	571	318
642	572	317
643	573	316
644	574	315
645	574	315
646	576	314
647	576	313
648	577	312
649	578	311
650	579	310
651	580	309
652	580	308
653	581	307
654	582	306
655	582	305
656	583	304
657	584	303
658	585	302
659	585	301
660	586	300
661	587	299
662	588	298
663	588	297
664	589	296
665	590	296
666	591	295
667	592	294
668	593	293
669	593	292
670	594	291
671	595	290
672	596	289
673	596	288
674	597	287
675	598	286
676	599	285
677	599	284
678	600	283
679	601	282
680	601	281
681	602	281
682	603	280
683	604	279
684	605	278
685	606	277
686	607	276
687	607	275
688	608	274
689	609	273
690	610	272
691	610	271
692	611	270
693	612	269
694	613	269
695	613	268
696	614	267
697	615	266
698	615	265
699	616	264
700	617	263
701	617	262
702	618	261
703	619	260
704	620	259
705	620	258
706	621	257
707	622	256
708	623	255
709	624	254
710	624	254
711	625	253
712	626	252
713	626	251
714	627	250
715	628	249
716	628	248
717	629	247
718	630	246
719	631	245
720	632	244
721	632	243
722	633	242
723	634	241
724	634	240
725	635	239
726	636	239
727	637	238
728	638	237
729	639	236
730	639	235
731	640	234
732	641	233
733	642	232
734	642	231
735	643	230
736	644	229
737	645	228
738	645	228
739	646	227
740	647	226
741	647	225
742	648	224
743	649	223
744	650	222
745	651	221
746	652	220
747	653	220
748	653	219
749	654	218
750	655	217
751	656	216
752	656	215
753	657	214
754	658	213
755	659	212
756	659	211
757	660	210
758	661	210
759	662	209
760	662	208
761	663	207
762	664	206
763	665	205
764	666	204
765	666	203
766	667	202
767	668	201
768	669	200
769	669	200
770	670	199
771	671	198
772	671	197
773	672	196
774	673	195
775	674	194
776	674	193
777	675	192
778	676	191
779	676	190
780	677	190
781	678	189
782	679	188
783	679	187
784	680	186
785	681	185
786	682	184
787	683	183
788	684	182
789	684	182
790	685	181
791	686	180
792	687	179
793	688	178
794	688	177
795	689	176
796	689	175
797	690	174
798	691	173
799	692	173
800	692	172
801	693	171
802	694	170
803	695	169
804	695	168
805	696	167
806	697	166
807	698	165
808	698	165
809	699	164
810	700	163
811	701	162
812	701	161
813	702	160
814	703	159
815	704	158
816	704	157
817	705	156
818	706	156
819	707	155
820	707	154
821	708	153
822	709	152
823	710	151
824	711	150
825	712	150
826	713	149
827	713	148
828	714	147
829	715	146
830	716	145
831	716	144
832	717	143
833	718	143
834	719	142
835	720	141
836	720	140
837	721	139
838	722	138
839	723	137
840	723	136
841	724	135
842	725	135
843	726	134
844	727	133
845	728	132
846	728	131
847	729	130
848	730	129
849	731	129
850	731	128
851	732	127
852	733	126
853	734	125
854	734	124
855	735	123
856	736	122
857	736	121
858	737	121
859	738	120
860	739	119
861	740	118
862	740	117
863	741	116
864	742	115
865	743	115
866	744	114
867	744	113
868	745	112
869	746	111
870	746	110
871	747	109
872	748	108
873	749	108
874	749	107
875	750	106
876	751	105
877	752	104
878	753	103
879	753	102
880	754	101
881	755	101
882	756	100
883	757	99
884	758	98
885	759	97
886	759	96
887	760	95
888	761	95
889	762	94
890	762	93
891	763	92
892	764	91
893	764	90
894	765	89
895	766	88
896	766	88
897	767	87
898	768	86
899	769	85
900	769	84
901	770	83
902	771	82
903	772	82
904	773	81
905	774	80
906	774	79
907	775	78
908	777	77
909	778	76
910	778	76
911	779	75
912	780	74
913	781	73
914	781	72
915	782	71
916	783	70
917	784	70
918	784	69
919	785	68
920	786	67
921	787	66
922	788	65
923	789	64
924	789	64
925	790	63
926	791	62
927	791	61
928	792	60
929	793	59
930	794	58
931	794	57
932	795	57
933	796	56
934	797	55
935	797	54
936	798	53
937	799	52
938	800	51
939	801	51
940	801	50
941	802	49
942	803	48
943	803	47
944	804	46
945	805	45
946	805	45
947	806	44
948	807	43
949	808	42
950	808	41
951	809	40
952	810	39
953	811	39
954	811	38
955	812	37
956	813	36
957	814	35
958	814	34
959	815	33
960	816	33
961	817	32
962	818	31
963	818	30
964	819	29
965	820	28
966	821	28
967	821	27
968	822	26
969	823	25
970	824	24
971	824	23
972	825	22
973	826	22
974	826	21
975	827	20
976	828	19
977	829	18
978	829	17
979	830	16
980	831	16
